"Population","Cage","Sex","Time Block","Marker","Mating Status"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"4","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
"5","","Male","Day 3 Final","Red","Non-Mated"
